model_name,optimizer,lr,accuracy,val_accuracy,tp %,tn %
model_bigger_biggest_lstm,Adagrad,0.008,"[0.5246440172195435, 0.5080321431159973, 0.49908724427223206, 0.4977181553840637, 0.498083233833313, 0.49826580286026, 0.4988134503364563, 0.5007302165031433, 0.5010952949523926, 0.5041986107826233, 0.5051113367080688, 0.5169770121574402, 0.5160642862319946, 0.5119569301605225, 0.5115005373954773, 0.513052225112915, 0.5045636892318726, 0.5117743611335754, 0.5141475200653076, 0.5140562057495117, 0.5131434798240662, 0.5145125985145569, 0.5152428150177002, 0.5115005373954773, 0.516520619392395, 0.5120481848716736, 0.5188937783241272, 0.5153340697288513, 0.5237312912940979, 0.5251004099845886]","[0.5613138675689697, 0.49598538875579834, 0.4956204295158386, 0.49671533703804016, 0.49890512228012085, 0.49817517399787903, 0.5003649592399597, 0.4970802962779999, 0.5007299184799194, 0.5010948777198792, 0.5014598369598389, 0.5072992444038391, 0.5069342851638794, 0.49854013323783875, 0.5021897554397583, 0.5025547742843628, 0.4952554702758789, 0.4974452555179596, 0.5, 0.5014598369598389, 0.49927008152008057, 0.5040146112442017, 0.5025547742843628, 0.50620436668396, 0.5040146112442017, 0.49343064427375793, 0.49927008152008057, 0.5248175263404846, 0.5186131596565247, 0.5087591409683228]",0.2934179222839017,0.893491124260355
model_bigger_biggest_lstm,Adagrad,0.001,"[0.5229098200798035, 0.5290251970291138, 0.5291164517402649, 0.5309419631958008, 0.5303030014038086, 0.5303943157196045, 0.5303030014038086, 0.5310332179069519, 0.5307593941688538, 0.5302117466926575, 0.5309419631958008, 0.5319459438323975, 0.5301204919815063, 0.5303943157196045, 0.5303943157196045, 0.5302117466926575, 0.5316721200942993, 0.5324023365974426, 0.5284775495529175, 0.5310332179069519, 0.5322197675704956, 0.5296640992164612, 0.5324023365974426, 0.5324023365974426, 0.5304855704307556, 0.53304123878479, 0.5331325531005859, 0.53130704164505, 0.5334063768386841, 0.5332238078117371]","[0.514598548412323, 0.5113138556480408, 0.5116788148880005, 0.5131387114524841, 0.5153284668922424, 0.5175182223320007, 0.5120437741279602, 0.5091241002082825, 0.5178832411766052, 0.5167883038520813, 0.5197080373764038, 0.510948896408081, 0.5124087333679199, 0.5131387114524841, 0.5098540186882019, 0.5138686299324036, 0.5156934261322021, 0.5102189779281616, 0.5153284668922424, 0.5131387114524841, 0.5102189779281616, 0.514598548412323, 0.5182482004165649, 0.5120437741279602, 0.5160583853721619, 0.5116788148880005, 0.5124087333679199, 0.5175182223320007, 0.5156934261322021, 0.5153284668922424]",0.2881311128733809,0.893491124260355
model_bigger_biggest_lstm,Adagrad,0.002,"[0.5225447416305542, 0.5341365337371826, 0.5385177135467529, 0.5407083034515381, 0.5381526350975037, 0.5431727170944214, 0.5456370711326599, 0.5464585423469543, 0.5453632473945618, 0.5482840538024902, 0.5494706034660339, 0.5534866452217102, 0.5523000955581665, 0.5512048006057739, 0.5512961149215698, 0.5530303120613098, 0.5528477430343628, 0.5534866452217102, 0.5542168617248535, 0.5533953905105591, 0.5554947257041931, 0.5535779595375061, 0.5555859804153442, 0.5562248826026917, 0.5554034113883972, 0.5562248826026917, 0.5564074516296387, 0.5546732544898987, 0.5577765703201294, 0.5564987063407898]","[0.5007299184799194, 0.5186131596565247, 0.5244525671005249, 0.5222627520561218, 0.5364963412284851, 0.5357664227485657, 0.5361313819885254, 0.5186131596565247, 0.5266423225402832, 0.5361313819885254, 0.5372262597084045, 0.5306569337844849, 0.5343065857887268, 0.5299270153045654, 0.5332117080688477, 0.5339416265487671, 0.5346715450286865, 0.5310218930244446, 0.540145993232727, 0.5357664227485657, 0.5339416265487671, 0.546350359916687, 0.5394160747528076, 0.5324817299842834, 0.5419707894325256, 0.5332117080688477, 0.5372262597084045, 0.5405109524726868, 0.5394160747528076, 0.5419707894325256]",0.35580227332804654,0.7988165680473372
model_bigger_biggest_lstm,Adam,0.001,"[0.5269258618354797, 0.5534866452217102, 0.5618839263916016, 0.5692771077156067, 0.5267433524131775, 0.5601496696472168, 0.5143300294876099, 0.5564074516296387, 0.5382438898086548, 0.5573201775550842, 0.5743884444236755, 0.5852500796318054, 0.5822380185127258, 0.5886272192001343, 0.5905439853668213, 0.5929171442985535, 0.584793746471405, 0.6008579730987549, 0.6008579730987549, 0.6051478385925293, 0.6001277565956116, 0.586345374584198, 0.5733844637870789, 0.5900876522064209, 0.5690032839775085, 0.5918218493461609, 0.5892661809921265, 0.5784045457839966, 0.6003103256225586, 0.5841547846794128]","[0.4660584032535553, 0.4737226366996765, 0.5718978047370911, 0.5032846927642822, 0.6113138794898987, 0.5872262716293335, 0.44489049911499023, 0.4930656850337982, 0.5058394074440002, 0.5452554821968079, 0.6499999761581421, 0.5124087333679199, 0.5416058301925659, 0.5014598369598389, 0.625547468662262, 0.5875912308692932, 0.5142335891723633, 0.5594890713691711, 0.5503649711608887, 0.6328467130661011, 0.5773722529411316, 0.6167883276939392, 0.6000000238418579, 0.5777372121810913, 0.6357664465904236, 0.543795645236969, 0.537956178188324, 0.5452554821968079, 0.6332116723060608, 0.5521897673606873]",0.5757335448057097,0.5710059171597633
model_bigger_biggest_lstm,Adam,0.0012,"[0.5775830745697021, 0.6048740148544312, 0.60651695728302, 0.6096202731132507, 0.593829870223999, 0.6124498248100281, 0.6026834845542908, 0.6056954860687256, 0.6033223867416382, 0.6080686450004578, 0.6187477111816406, 0.6095290184020996, 0.6001277565956116, 0.6133625507354736, 0.6053304076194763, 0.6104417443275452, 0.6040526032447815, 0.6074297428131104, 0.6087075471878052, 0.6133625507354736, 0.6079773902893066, 0.6111719608306885, 0.5999452471733093, 0.6132712960243225, 0.6055129766464233, 0.6104417443275452, 0.604600191116333, 0.6015881896018982, 0.6048740148544312, 0.6038700342178345]","[0.6518248319625854, 0.5616788268089294, 0.6759123802185059, 0.5875912308692932, 0.6441605687141418, 0.6481751799583435, 0.6043795347213745, 0.6014598608016968, 0.543795645236969, 0.62189781665802, 0.6664233803749084, 0.5952554941177368, 0.6277372241020203, 0.525547444820404, 0.6383211612701416, 0.5937955975532532, 0.6032846570014954, 0.56094890832901, 0.5591241121292114, 0.6386861205101013, 0.6083941459655762, 0.6375912427902222, 0.651094913482666, 0.6156934499740601, 0.6733576655387878, 0.5773722529411316, 0.5412408709526062, 0.56094890832901, 0.6547445058822632, 0.5624087452888489]",0.6222574676182924,0.40828402366863903
model_bigger_biggest_lstm,Adam,0.0014,"[0.6010405421257019, 0.6113545298576355, 0.6000365018844604, 0.6050565838813782, 0.599397599697113, 0.6092551946640015, 0.6008579730987549, 0.562340259552002, 0.555038332939148, 0.5578678250312805, 0.5850675702095032, 0.6054216623306274, 0.6003103256225586, 0.6017706990242004, 0.5927345752716064, 0.6059693098068237, 0.6005841493606567, 0.6029573082923889, 0.5969331860542297, 0.5971157550811768, 0.6029573082923889, 0.5984848737716675, 0.5891748666763306, 0.5970244407653809, 0.5848850011825562, 0.5964767932891846, 0.5937386155128479, 0.5889923572540283, 0.6037787795066833, 0.5961117148399353]","[0.6062043905258179, 0.5642336010932922, 0.6419708132743835, 0.5777372121810913, 0.6171532869338989, 0.6602189540863037, 0.5007299184799194, 0.5237226486206055, 0.5218977928161621, 0.5616788268089294, 0.6514598727226257, 0.5967153310775757, 0.5441606044769287, 0.5284671783447266, 0.6412408947944641, 0.6036496162414551, 0.6412408947944641, 0.56715327501297, 0.5711678862571716, 0.5682481527328491, 0.5806569457054138, 0.5919708013534546, 0.639051079750061, 0.6518248319625854, 0.6525547504425049, 0.5602189898490906, 0.5521897673606873, 0.5722627639770508, 0.6087591052055359, 0.5773722529411316]",0.66243721913825,0.3254437869822485
model_bigger_biggest_lstm,Adam,0.0018,"[0.5875319242477417, 0.5721065998077393, 0.5453632473945618, 0.5673603415489197, 0.5597845911979675, 0.5718327760696411, 0.5864366292953491, 0.5847024321556091, 0.5665388703346252, 0.5945600867271423, 0.580777645111084, 0.5818729400634766, 0.5910916328430176, 0.5868930220603943, 0.582511842250824, 0.597663402557373, 0.5841547846794128, 0.5912742018699646, 0.5895400047302246, 0.5962029695510864, 0.594012439250946, 0.5806863903999329, 0.5770354270935059, 0.5869842767715454, 0.577309250831604, 0.5887185335159302, 0.591730535030365, 0.5797736644744873, 0.584611177444458, 0.5933734774589539]","[0.6029196977615356, 0.5138686299324036, 0.5430656671524048, 0.5332117080688477, 0.5605839490890503, 0.5328466892242432, 0.5503649711608887, 0.525547444820404, 0.5562043786048889, 0.5390511155128479, 0.6467153429985046, 0.5266423225402832, 0.5149635076522827, 0.5200729966163635, 0.6237226128578186, 0.6302919983863831, 0.6018248200416565, 0.5759124159812927, 0.5357664227485657, 0.5558394193649292, 0.5197080373764038, 0.5324817299842834, 0.6375912427902222, 0.6346715092658997, 0.5098540186882019, 0.5167883038520813, 0.5346715450286865, 0.5120437741279602, 0.6040145754814148, 0.564598560333252]",0.5186360031720857,0.5414201183431953
model_bigger_biggest_lstm,Adam,0.002,"[0.5912742018699646, 0.5864366292953491, 0.5872581005096436, 0.5796823501586914, 0.5672690868377686, 0.5585067272186279, 0.57000732421875, 0.5629791617393494, 0.5613362789154053, 0.5699160099029541, 0.5777655839920044, 0.5806863903999329, 0.5817816853523254, 0.5761227011680603, 0.5805951356887817, 0.5922781825065613, 0.5781307220458984, 0.5876232385635376, 0.5833333134651184, 0.5878970623016357, 0.584428608417511, 0.5886272192001343, 0.5787696242332458, 0.5857064723968506, 0.5879883170127869, 0.6004928946495056, 0.5930083990097046, 0.5779481530189514, 0.5860715508460999, 0.597480833530426]","[0.5777372121810913, 0.5368613004684448, 0.6569343209266663, 0.5364963412284851, 0.5459854006767273, 0.529197096824646, 0.5445255637168884, 0.5222627520561218, 0.508394181728363, 0.5456204414367676, 0.6715328693389893, 0.525547444820404, 0.5375912189483643, 0.5211678743362427, 0.6441605687141418, 0.5386861562728882, 0.552554726600647, 0.5722627639770508, 0.5580291748046875, 0.563503623008728, 0.6397809982299805, 0.5653284788131714, 0.6507299542427063, 0.645255446434021, 0.6649634838104248, 0.5361313819885254, 0.5156934261322021, 0.6529197096824646, 0.6394160389900208, 0.5430656671524048]",0.50700502246894,0.5266272189349113
model_bigger_biggest_lstm,Adam,0.01,"[0.5436290502548218, 0.5419861078262329, 0.5393391847610474, 0.5435377955436707, 0.5363271236419678, 0.5405257344245911, 0.5375136733055115, 0.5258305668830872, 0.5235487222671509, 0.5271084308624268, 0.5395216941833496, 0.5316721200942993, 0.5119569301605225, 0.5159729719161987, 0.5140562057495117, 0.5268346071243286, 0.5289339423179626, 0.5159729719161987, 0.5234574675559998, 0.5275648236274719, 0.525739312171936, 0.505567729473114, 0.5282037258148193, 0.5108616352081299, 0.5303030014038086, 0.5174333453178406, 0.514968991279602, 0.5214494466781616, 0.5407995581626892, 0.5025556683540344]","[0.49416059255599976, 0.49927008152008057, 0.4565693438053131, 0.4828467071056366, 0.5543795824050903, 0.45729926228523254, 0.5375912189483643, 0.48649635910987854, 0.5178832411766052, 0.508394181728363, 0.5178832411766052, 0.5551095008850098, 0.5175182223320007, 0.5912408828735352, 0.5226277112960815, 0.5222627520561218, 0.49197080731391907, 0.4631386995315552, 0.5043795704841614, 0.5164233446121216, 0.5076642632484436, 0.5306569337844849, 0.668248176574707, 0.5197080373764038, 0.48175182938575745, 0.5127737522125244, 0.4883211553096771, 0.42883211374282837, 0.552554726600647, 0.4394160509109497]",0.14459423737774255,0.9940828402366864
model_bigger_biggest_lstm,Nadam,0.001,"[0.5209930539131165, 0.5363271236419678, 0.5319459438323975, 0.5291164517402649, 0.5352318286895752, 0.5318546891212463, 0.5394304394721985, 0.5738407969474792, 0.5921869277954102, 0.5864366292953491, 0.5928258299827576, 0.60304856300354, 0.6032311320304871, 0.6017706990242004, 0.5983023047447205, 0.6121760010719299, 0.6148229241371155, 0.6152793169021606, 0.6042351126670837, 0.5959291458129883, 0.6133625507354736, 0.6151880025863647, 0.6150967478752136, 0.6098028421401978, 0.6150054931640625, 0.6182913184165955, 0.6219423413276672, 0.6200255751609802, 0.5941036939620972, 0.6195691823959351]","[0.514598548412323, 0.510948896408081, 0.5215328335762024, 0.5218977928161621, 0.5248175263404846, 0.5328466892242432, 0.5277372002601624, 0.5718978047370911, 0.5824817419052124, 0.5759124159812927, 0.5956204533576965, 0.5740876197814941, 0.5726277232170105, 0.5656934380531311, 0.5828467011451721, 0.5846715569496155, 0.6010949015617371, 0.6080291867256165, 0.5496350526809692, 0.6098540425300598, 0.6040145754814148, 0.613503634929657, 0.6065693497657776, 0.5839415788650513, 0.6094890236854553, 0.6051095128059387, 0.5959854125976562, 0.5916058421134949, 0.6127737164497375, 0.6051095128059387]",0.6460481099656358,0.48520710059171596
model_bigger_biggest_lstm,Nadam,0.0015,"[0.6140927076339722, 0.5902701616287231, 0.595381498336792, 0.5820555090904236, 0.6015881896018982, 0.6082512140274048, 0.6264147758483887, 0.6100766658782959, 0.6066082715988159, 0.5839722752571106, 0.6227637529373169, 0.6205732226371765, 0.6064257025718689, 0.593647301197052, 0.6184738874435425, 0.6271449327468872, 0.6004015803337097, 0.6173785924911499, 0.6211208701133728, 0.6261409521102905, 0.6291529536247253, 0.617743730545044, 0.6223986744880676, 0.6347206830978394, 0.5985761284828186, 0.6337167024612427, 0.6135450601577759, 0.6111719608306885, 0.6328039169311523, 0.6091639399528503]","[0.5518248081207275, 0.552554726600647, 0.5916058421134949, 0.5773722529411316, 0.6215328574180603, 0.6229926943778992, 0.6138685941696167, 0.5937955975532532, 0.5708029270172119, 0.5554744601249695, 0.6339415907859802, 0.5835766196250916, 0.5795620679855347, 0.5890510678291321, 0.6273722648620605, 0.5248175263404846, 0.6299269795417786, 0.5897810459136963, 0.6430656909942627, 0.6127737164497375, 0.6003649830818176, 0.6193430423736572, 0.6313868761062622, 0.6284671425819397, 0.6215328574180603, 0.5156934261322021, 0.6021897792816162, 0.6616788506507874, 0.6248174905776978, 0.5777372121810913]",0.6600581549035157,0.41420118343195267
model_bigger_biggest_lstm,Nadam,0.002,"[0.6146403551101685, 0.6077035665512085, 0.6098028421401978, 0.6239503622055054, 0.6087988018989563, 0.6041438579559326, 0.6260496377944946, 0.6091639399528503, 0.6181088089942932, 0.6383716464042664, 0.6301569938659668, 0.5862541198730469, 0.5185286402702332, 0.5233662128448486, 0.5265607833862305, 0.5285688042640686, 0.53304123878479, 0.5321285128593445, 0.5318546891212463, 0.5338627099990845, 0.5322197675704956, 0.5362358689308167, 0.5354143977165222, 0.5394304394721985, 0.5336802005767822, 0.5456370711326599, 0.5707374811172485, 0.5666301846504211, 0.5975720882415771, 0.5858889818191528]","[0.5558394193649292, 0.5821167826652527, 0.5908759236335754, 0.6153284907341003, 0.6412408947944641, 0.6448904871940613, 0.5996350646018982, 0.6032846570014954, 0.639051079750061, 0.6153284907341003, 0.6386861205101013, 0.4970802962779999, 0.5135036706924438, 0.5193430781364441, 0.5218977928161621, 0.5211678743362427, 0.5040146112442017, 0.5386861562728882, 0.5175182223320007, 0.5441606044769287, 0.5153284668922424, 0.5481751561164856, 0.5113138556480408, 0.5489051342010498, 0.5244525671005249, 0.5193430781364441, 0.5514598488807678, 0.6313868761062622, 0.5456204414367676, 0.5266423225402832]",0.3232883954533439,0.7928994082840237
model_bigger_biggest_lstm,Nadam,0.01,"[0.5575027465820312, 0.5321285128593445, 0.5247353315353394, 0.5526652336120605, 0.5381526350975037, 0.5369660258293152, 0.5295728445053101, 0.543994128704071, 0.5235487222671509, 0.5148776769638062, 0.5296640992164612, 0.5314896106719971, 0.5248265862464905, 0.5217232704162598, 0.5219970941543579, 0.5086710453033447, 0.5179809927940369, 0.5100401639938354, 0.516338050365448, 0.5052026510238647, 0.5247353315353394, 0.5151515007019043, 0.492515504360199, 0.5239138603210449, 0.529390275478363, 0.5309419631958008, 0.5185286402702332, 0.5219970941543579, 0.5249178409576416, 0.525739312171936]","[0.5149635076522827, 0.5164233446121216, 0.531751811504364, 0.49124088883399963, 0.5306569337844849, 0.5905109643936157, 0.531751811504364, 0.47189781069755554, 0.5332117080688477, 0.5182482004165649, 0.540145993232727, 0.569343090057373, 0.5321167707443237, 0.6416058540344238, 0.5306569337844849, 0.5018247961997986, 0.4781021773815155, 0.4492700695991516, 0.4901459813117981, 0.5010948777198792, 0.5124087333679199, 0.39197081327438354, 0.4799270033836365, 0.4689781069755554, 0.46459853649139404, 0.508394181728363, 0.5138686299324036, 0.49890512228012085, 0.5124087333679199, 0.5346715450286865]",0.3526301876817341,0.7662721893491125
model_bigger_biggest_lstm,Nadam,0.1,"[0.5456370711326599, 0.5517524480819702, 0.5528477430343628, 0.5502920746803284, 0.5416210293769836, 0.5682730674743652, 0.5647134184837341, 0.5547645092010498, 0.5480102300643921, 0.5494706034660339, 0.5502920746803284, 0.5589631199836731, 0.5463672876358032, 0.5444505214691162, 0.5459108948707581, 0.551387369632721, 0.5597845911979675, 0.5444505214691162, 0.5635268092155457, 0.5585067272186279, 0.5509309768676758, 0.5675429105758667, 0.5497444272041321, 0.5684556365013123, 0.5286601185798645, 0.5526652336120605, 0.5529390573501587, 0.5365096926689148, 0.5536692142486572, 0.5570463538169861]","[0.668248176574707, 0.33175182342529297, 0.668248176574707, 0.33175182342529297, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.33175182342529297, 0.668248176574707, 0.668248176574707, 0.33175182342529297, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.668248176574707, 0.33175182342529297, 0.668248176574707, 0.33175182342529297, 0.33175182342529297, 0.668248176574707, 0.668248176574707, 0.33175182342529297]",0.0,1.0
