qtype,question,atype,answer
identifying,How many mappings are shown in the visualization in total?,number,11
indentifying,How many classes is "Author" (in the left ontology) mapped to?,number,1
identifying,What is "SlideSet" (in the left ontology) mapped to (in the right ontology)?",class,Document
validation,Is there a mapping between "AcademicEvent" (in the left ontology) and "Scientific_Event" (in the right ontology)?,y/n,Yes
validation,Is "AcademiaOrganization" (in the left ontology) correctly mapped?,y/n,Yes
identifying,Can "Person" (in the left ontology) be mapped to another class (in the right ontology)?,y/n,Yes
creation,Which class could "Attendee" (in the left ontology) be mapped to (in the right ontology)?,class,Conference_Participant
identifying,Which class could "ConferenceDinner" (in the left ontology) be mapped to (in the right ontology)?,class,Conference_Banquet
validation,"SecurityTopic" (in the left ontology) is mapped to "Research_Topic" (in the right ontology). Is this correct?,y/n,No
validation,"Place" (in the left ontology) is mapped to "Location" (in the right ontology). Is this correct?,y/n,Yes
identifying,"RejectedPaper" (in the left ontology) is mapped to "Assigned_Paper" (in the right ontology). Is this correct?,y/n,No
validation,"IndustryOrganization" (in the left ontology) is mapped to "Organisation" (in the right ontology). Is this correct?,y/n,No
creation,Which class could "AcceptedPaper" (in the left ontology) be mapped to (in the right ontology)?,class,Accepted_Paper
identifying,Can "Workshop" (in the left ontology) be mapped to another class (in the right ontology)?,y/n,Yes
creation,Are there any other mappings that should be created between the ontologies but are currently absent from the visualization? List as many missing mappings as you can (ex. "a=b,x=y,..." where a is the class from the left ontology and b is the class from the right ontology),pairs